Density,Trial,Method,AUROC,AUPR
0.01,37,ICM,0.5141256077653542,0.009350569740177839
0.01,38,SPSID,0.9228431720924322,0.18625279004313378
0.01,38,RENDOR,0.8837174228069218,0.10097315737346146
0.01,38,ND,0.8688686583168566,0.11906248287873249
0.01,38,NE,0.8348788209421328,0.09963623233306704
0.01,38,Silencer,0.5329806459004449,0.012137228492834473
0.01,38,ICM,0.430104875357021,0.010019568276987603
0.01,39,SPSID,0.9056342574694517,0.1589940548208407
0.01,39,RENDOR,0.8604335006041396,0.07195136361790513
0.01,39,ND,0.8683944937155426,0.10863976501771923
0.01,39,NE,0.8340044580030341,0.05628143763080321
0.01,39,Silencer,0.5430387402249927,0.010954453619676048
0.01,39,ICM,0.4612648786170238,0.008078840724471922
0.01,40,SPSID,0.9191953763916598,0.2368443180539493
0.01,40,RENDOR,0.8761263830801609,0.10611939948478374
0.01,40,ND,0.8691948662438934,0.1271179795435234
0.01,40,NE,0.8505540668516184,0.09498155767471947
0.01,40,Silencer,0.44467215585663555,0.009225729339736519
0.01,40,ICM,0.4594989050373846,0.010233570882795036
0.01,41,SPSID,0.9237373470660947,0.21975331675118948
0.01,41,RENDOR,0.8770527312614849,0.11296862007725236
0.01,41,ND,0.8778560566257113,0.11828894877192266
0.01,41,NE,0.8408704198147027,0.11564783429439078
0.01,41,Silencer,0.4871047258803237,0.01096244154920573
0.01,41,ICM,0.4152270210905354,0.009044864109357748
0.01,42,SPSID,0.8995554392227504,0.2733411839855856
0.01,42,RENDOR,0.8407310005399858,0.07361104012515589
0.01,42,ND,0.8410324238764383,0.11821473846583937
0.01,42,NE,0.8020395797179709,0.09729852737883266
0.01,42,Silencer,0.5319828193850759,0.012268098263303523
0.01,42,ICM,0.4568609103912218,0.009760090886248735
0.01,43,SPSID,0.8926891503537507,0.11630907071989002
0.01,43,RENDOR,0.8385160938352428,0.07443487175573062
0.01,43,ND,0.8421083718872292,0.10167828575803524
0.01,43,NE,0.8114617833163653,0.05793941891458857
0.01,43,Silencer,0.5383466285208621,0.012012369373586115
0.01,43,ICM,0.4609972035001353,0.008763653279514847
0.01,44,SPSID,0.9094573808470267,0.2186304017748264
0.01,44,RENDOR,0.8547280250277526,0.08977740821293263
0.01,44,ND,0.8485265365374357,0.07455456756319885
0.01,44,NE,0.8478700127201488,0.08821223500210475
0.01,44,Silencer,0.527371054619011,0.01576775994944842
0.01,44,ICM,0.44854161884134636,0.008004464867478476
0.01,45,SPSID,0.9277854848824614,0.21708941653834882
0.01,45,RENDOR,0.8856905237952829,0.0816009296771971
0.01,45,ND,0.8800688938476635,0.1494969895925145
0.01,45,NE,0.8490331556642886,0.07468610696325755
0.01,45,Silencer,0.5988028593747343,0.014190016359955029
0.01,45,ICM,0.47866071080287137,0.0100464091187345
0.01,46,SPSID,0.906379870429402,0.21428812611620388
0.01,46,RENDOR,0.8641923653417644,0.11954560644646046
0.01,46,ND,0.8518707854010036,0.1218344068290209
0.01,46,NE,0.8405944097309278,0.09500608006970655
0.01,46,Silencer,0.5518922755822699,0.012458051441511877
0.01,46,ICM,0.47963751056871917,0.009010618099818908
0.01,47,SPSID,0.8942788267366719,0.1622655092083479
0.01,47,RENDOR,0.8468001144318794,0.0865059958970582
0.01,47,ND,0.8380951930196554,0.09573334138751508
0.01,47,NE,0.8224580977382876,0.09001624463024781
0.01,47,Silencer,0.5517856842353259,0.01112086936482203
0.01,47,ICM,0.5015671277598277,0.012355010323114177
0.01,48,SPSID,0.8932757531888933,0.16023721942661195
0.01,48,RENDOR,0.8647269585053647,0.12691454606202932
0.01,48,ND,0.8527314351473526,0.12879797471614332
0.01,48,NE,0.8309746286213311,0.10563992954972515
0.01,48,Silencer,0.5186186682500186,0.01150423675044204
0.01,48,ICM,0.44313297605894314,0.00832668941305231
0.01,49,SPSID,0.9175536281245391,0.16966661491577953
0.01,49,RENDOR,0.8666394897038268,0.09805779752678842
0.01,49,ND,0.8567992030564344,0.08178023305366995
