Beta,Trial,Method,AUROC,AUPR
0.1,42,ICM,0.44918887437694366,0.04416603739184352
0.1,43,SPSID,0.9133900478566033,0.4709307891187186
0.1,43,RENDOR,0.8569252764273095,0.27637981866219036
0.1,43,ND,0.844287073046095,0.25298882466194245
0.1,43,NE,0.821656330371858,0.2560775159812023
0.1,43,Silencer,0.5208640900002487,0.057233668617014614
0.1,43,ICM,0.426743090113464,0.042995186299819035
0.1,44,SPSID,0.9057518514158789,0.45025581971890016
0.1,44,RENDOR,0.8521851057622921,0.2705026345606202
0.1,44,ND,0.843465666279409,0.2501546629810872
0.1,44,NE,0.8078895138465949,0.24198241639565016
0.1,44,Silencer,0.5239366193939332,0.05533600198528854
0.1,44,ICM,0.48342830529553565,0.04742654001973535
0.1,45,SPSID,0.9125679309260364,0.44455688900508383
0.1,45,RENDOR,0.8543856877144882,0.27478336308246726
0.1,45,ND,0.8529825499786199,0.24860156520381518
0.1,45,NE,0.7959156075410477,0.23905502924123295
0.1,45,Silencer,0.5331574797353928,0.05409192846996734
0.1,45,ICM,0.43127679382217915,0.04228748881556273
0.1,46,SPSID,0.9075883409310678,0.447623784665598
0.1,46,RENDOR,0.8556816134825251,0.2788188176425071
0.1,46,ND,0.8543523691117557,0.25804105281517825
0.1,46,NE,0.8114916424920569,0.24928426458000574
0.1,46,Silencer,0.5166168807846387,0.05136554526384138
0.1,46,ICM,0.4484112170189253,0.04152995935265941
0.1,47,SPSID,0.9116105544948092,0.46598771502757563
0.1,47,RENDOR,0.8559860130818522,0.2813562586585914
0.1,47,ND,0.843283405352435,0.2633869192616639
0.1,47,NE,0.83196101260713,0.27020998333225604
0.1,47,Silencer,0.5354010528379751,0.0537989378818669
0.1,47,ICM,0.4904643765211115,0.04868887212559908
0.1,48,SPSID,0.909782733373961,0.4579833402295114
0.1,48,RENDOR,0.8552825113787191,0.2959235867719163
0.1,48,ND,0.8438459524688291,0.26775502601976686
0.1,48,NE,0.8083365650742573,0.2587707382972351
0.1,48,Silencer,0.489940377306078,0.05358772396818013
0.1,48,ICM,0.4549392575761241,0.04809870407863007
0.1,49,SPSID,0.9043934323176243,0.4151660020405899
0.1,49,RENDOR,0.8419872895107372,0.24154669096835588
0.1,49,ND,0.8379364705521591,0.23440105710716164
0.1,49,NE,0.7956066102721401,0.2216601976125401
0.1,49,Silencer,0.5492422855030406,0.055221944901534564
0.1,49,ICM,0.4534008352704577,0.0436062465159119
0.1,50,SPSID,0.9076494445113255,0.44236500647032195
0.1,50,RENDOR,0.8564664258010032,0.27488832472615604
0.1,50,ND,0.8437557776811395,0.2590437365547039
0.1,50,NE,0.8070063704474377,0.24683021158402838
0.1,50,Silencer,0.5281396983457027,0.057360581255515825
0.1,50,ICM,0.43675042881285886,0.04407282122050303
0.1,51,SPSID,0.9018006645614693,0.40439932284613617
0.1,51,RENDOR,0.847703650050893,0.242550877949988
0.1,51,ND,0.8425717973035409,0.22827806460621883
0.1,51,NE,0.7948127381808455,0.21641746416899582
0.1,51,Silencer,0.5316669793197364,0.05485545267116634
0.1,51,ICM,0.45770889567461853,0.04347048730063337
0.1,52,SPSID,0.9203582362604539,0.47915666124446976
0.1,52,RENDOR,0.8727505227001194,0.31018663893757914
0.1,52,ND,0.8596813226349517,0.2585051199424109
0.1,52,NE,0.8192221271858369,0.27066445796633887
0.1,52,Silencer,0.5648964867084827,0.06101765128198733
0.1,52,ICM,0.4485153110405127,0.04478061398203135
0.1,53,SPSID,0.9086312656543656,0.4475199683047348
0.1,53,RENDOR,0.8582921673458187,0.27218607588257765
0.1,53,ND,0.8493549576355091,0.24835743878536462
0.1,53,NE,0.8040902837847697,0.2572983537168362
0.1,53,Silencer,0.5261749241816306,0.05357948234493426
0.1,53,ICM,0.4556293185205257,0.04420852205072868
0.1,54,SPSID,0.9150173090629348,0.4201151313076799
0.1,54,RENDOR,0.8580086469893922,0.2543497159313406
0.1,54,ND,0.8426446145810944,0.21257406324142705
0.1,54,NE,0.8154755844165639,0.21701390046745214
0.1,54,Silencer,0.5312326767956739,0.051293243931983146
0.1,54,ICM,0.4777532346075669,0.04317966099044281
0.1,55,SPSID,0.8995995001024807,0.43735123326799297
0.1,55,RENDOR,0.8534039234486327,0.2494543547540988
0.1,55,ND,0.8408173576299508,0.23553562702862435
0.1,55,NE,0.7941813526761365,0.2228833939143909
0.1,55,Silencer,0.5558131324711056,0.056851439162869416
0.1,55,ICM,0.43650016153741933,0.04162173686330263
0.1,56,SPSID,0.906682886986626,0.44058580563013505
0.1,56,RENDOR,0.8572882034600395,0.25416625644371893
0.1,56,ND,0.8378290240080225,0.22554359936109009
0.1,56,NE,0.8111785555145101,0.2539912744766142
