Noise,Trial,Method,AUROC,AUPR
0.1,16,RENDOR,0.9394286942477735,0.3887570789726368
0.1,16,ND,0.9241285433723989,0.3192960247696246
0.1,16,NE,0.8900420565370295,0.32111696405085394
0.1,16,Silencer,0.5751567338444914,0.06842071357076526
0.1,16,ICM,0.4075137961429648,0.039486888213844516
0.1,17,SPSID,0.9538340272476764,0.5552225130630196
0.1,17,RENDOR,0.9309131816434171,0.3518740210289134
0.1,17,ND,0.9150149578875466,0.30879157086397246
0.1,17,NE,0.8735936094060912,0.3113382063534868
0.1,17,Silencer,0.5938650587439227,0.0774173196454363
0.1,17,ICM,0.4658448858633314,0.047504682211392826
0.1,18,SPSID,0.9631091276310645,0.5525384109881359
0.1,18,RENDOR,0.9399265528633661,0.355255419632256
0.1,18,ND,0.9248161245145605,0.32501273031810174
0.1,18,NE,0.8926740121112346,0.30855905638453185
0.1,18,Silencer,0.5646922888181032,0.06197249309095381
0.1,18,ICM,0.4012952140296836,0.03768348903446504
0.1,19,SPSID,0.9557424345756275,0.5394842172740587
0.1,19,RENDOR,0.9312617844104787,0.3353893213660564
0.1,19,ND,0.9196326189138954,0.3129659578541139
0.1,19,NE,0.8903999679062863,0.2940691781459722
0.1,19,Silencer,0.5400492354341343,0.061595746732663555
0.1,19,ICM,0.4020402074056244,0.03933603936060041
0.1,20,SPSID,0.9565989388823574,0.5217750632157975
0.1,20,RENDOR,0.9347303648684071,0.34935123730119994
0.1,20,ND,0.922502121629723,0.3041224339262611
0.1,20,NE,0.8870722028874927,0.2914094523336185
0.1,20,Silencer,0.5379220226462886,0.05926323163499755
0.1,20,ICM,0.4176491910124218,0.038958277407706854
0.1,21,SPSID,0.9658200605983608,0.5509422078415035
0.1,21,RENDOR,0.946658020110829,0.39609799955101616
0.1,21,ND,0.9295253611544987,0.3322703835533459
0.1,21,NE,0.9075967851480344,0.3419092481168533
0.1,21,Silencer,0.48404893887193023,0.04693639113428749
0.1,21,ICM,0.44723041848379086,0.03982661399291286
0.1,22,SPSID,0.9606312931093215,0.5987371845077032
0.1,22,RENDOR,0.9373072004444635,0.39625597597095796
0.1,22,ND,0.921429217766129,0.32990978001575044
0.1,22,NE,0.892945663983477,0.35188278238428555
0.1,22,Silencer,0.5359036144070057,0.0617562911381261
0.1,22,ICM,0.4130214961024038,0.039899876585246685
0.1,23,SPSID,0.967760943659366,0.5586234932675695
0.1,23,RENDOR,0.9514850965575147,0.41788056177490324
0.1,23,ND,0.9331885548748381,0.35691065553019
0.1,23,NE,0.9186963668189386,0.34515317581664207
0.1,23,Silencer,0.5028079594131125,0.05053588079266924
0.1,23,ICM,0.42241733552491145,0.03782102587066556
0.1,24,SPSID,0.9669156322322743,0.5806490649295292
0.1,24,RENDOR,0.9308751089233223,0.33416748054304773
0.1,24,ND,0.9196323694133941,0.3233880409793286
0.1,24,NE,0.8907640688897958,0.28865993549421376
0.1,24,Silencer,0.5461208816762649,0.05891093274668644
0.1,24,ICM,0.42807185063599296,0.039894378256377455
0.1,25,SPSID,0.9632120776691686,0.5401114186396386
0.1,25,RENDOR,0.9439408631048042,0.3489762545248515
0.1,25,ND,0.9310924488908455,0.34438439152206834
0.1,25,NE,0.8890251379521765,0.2875625526235943
0.1,25,Silencer,0.5922418162780418,0.0657966271888433
0.1,25,ICM,0.44200921751922867,0.03943084051465641
0.1,26,SPSID,0.9456979410217626,0.4691532599777632
0.1,26,RENDOR,0.937864461295689,0.3768060880376089
0.1,26,ND,0.9217545484518024,0.32153101639642934
0.1,26,NE,0.8700506460156425,0.2795609095141701
0.1,26,Silencer,0.5602724918393388,0.06209064482813583
0.1,26,ICM,0.4426463445019668,0.04376796982417526
0.1,27,SPSID,0.9570084012569092,0.5229798632944377
0.1,27,RENDOR,0.9424940225265782,0.392887531332833
0.1,27,ND,0.9232152333365418,0.3305836545505687
0.1,27,NE,0.8838104380697978,0.3162512882283776
0.1,27,Silencer,0.484155329981235,0.04957963106013738
0.1,27,ICM,0.4783750471681639,0.04522547823380737
0.1,28,SPSID,0.9618128470783258,0.5647810153054672
0.1,28,RENDOR,0.938373698024589,0.3717848391807979
0.1,28,ND,0.925591490537367,0.3478367828468183
0.1,28,NE,0.8977170327393287,0.3199847621855245
0.1,28,Silencer,0.46940748722199194,0.04756958694624424
0.1,28,ICM,0.42270556706727447,0.038870865840781615
0.1,29,SPSID,0.9521715471443613,0.5264724325125559
0.1,29,RENDOR,0.9300960055483631,0.35699068741865714
0.1,29,ND,0.9175083020791194,0.31760066062202197
0.1,29,NE,0.8664136618054078,0.30457304025301096
0.1,29,Silencer,0.5317682436409596,0.0567820038589445
0.1,29,ICM,0.433981251834893,0.042253391404194596
0.1,30,SPSID,0.9542816199313172,0.5425941914167655
0.1,30,RENDOR,0.9310468752399035,0.34966407357322143
0.1,30,ND,0.91640945591148,0.31072478114070606
0.1,30,NE,0.8796066349013004,0.32104899814720367
0.1,30,Silencer,0.5105054992297496,0.05243228674124541
0.1,30,ICM,0.4348946471434201,0.0434896301739209
0.1,31,SPSID,0.9564430588443215,0.5010249398430039
0.1,31,RENDOR,0.9384605045127143,0.37969762527580775
0.1,31,ND,0.9302833271096811,0.33483710261680855
0.1,31,NE,0.8740276137201601,0.3092006068888831
