Trial,Method,AUROC,AUPR
68,NE,0.8083430998105166,0.2658176984127454
68,Silencer,0.5033132413801638,0.050537996094026816
68,ICM,0.472867435567387,0.04632453763182922
69,SPSID,0.9110382123231028,0.440847686407352
69,RENDOR,0.8590702526367037,0.2587772828731898
69,ND,0.8519273578297867,0.2572638445698951
69,NE,0.8082840969909806,0.24266754523121448
69,Silencer,0.5084338932346937,0.049951232600422384
69,ICM,0.4625245742297731,0.04484893350527677
70,SPSID,0.9149525267050294,0.4430650854745617
70,RENDOR,0.859354483089382,0.27428716484517707
70,ND,0.8490868166372603,0.24868006391589276
70,NE,0.8025842824800519,0.23904957844266045
70,Silencer,0.504383255161779,0.05357446100698511
70,ICM,0.44498126963482654,0.04462933366533611
71,SPSID,0.9179253216093564,0.465602869362342
71,RENDOR,0.8638811544756941,0.29377833753359167
71,ND,0.8559749222889471,0.25804921103978357
71,NE,0.809346406555926,0.26272750750979373
71,Silencer,0.49460894944118583,0.04888592177610085
71,ICM,0.43322009608140355,0.044272768630857454
72,SPSID,0.915842792423064,0.40077489150730494
72,RENDOR,0.8590167781533897,0.24504745015906276
72,ND,0.8577758493829695,0.23996527737683918
72,NE,0.8213276215263446,0.23119859283988486
72,Silencer,0.5240293205495523,0.051257249706815645
72,ICM,0.3971563782776839,0.03697927507474126
73,SPSID,0.9064096002923488,0.4493896255851343
73,RENDOR,0.8561993533724801,0.2808994572684589
73,ND,0.8465205569825344,0.2524025353920045
73,NE,0.803294825120323,0.25967060833339706
73,Silencer,0.5246919868475413,0.054488895735138584
73,ICM,0.43634583496041246,0.044828725693610794
74,SPSID,0.9228452971961736,0.4744336755893938
74,RENDOR,0.8682764292826526,0.2806758365157613
74,ND,0.8631254883080155,0.25543551852356056
74,NE,0.8213112422732032,0.2536529400801761
74,Silencer,0.49610344237750775,0.048629891724699253
74,ICM,0.4607378891356709,0.04242591334924238
75,SPSID,0.888323014543642,0.4105815013342717
75,RENDOR,0.8424365401734221,0.24188875795268203
75,ND,0.8362511065472782,0.23978314096569162
75,NE,0.8009177407185364,0.22362291263009657
75,Silencer,0.5248111429002063,0.05092305227439011
75,ICM,0.4924102256311952,0.0468458392056126
76,SPSID,0.8964357350936215,0.42218001240326464
76,RENDOR,0.8347077411486993,0.25697933937830575
76,ND,0.8278354977293458,0.24345748817545246
76,NE,0.7926160420324397,0.24527970962660012
76,Silencer,0.5212698089642613,0.05524641597640529
76,ICM,0.4697479067151858,0.04832441005449109
77,SPSID,0.9194404488155794,0.5039867062029959
77,RENDOR,0.8611835578074865,0.2850856060288239
77,ND,0.8518657236429518,0.27770138627159463
77,NE,0.8159577397957999,0.2823256183695385
77,Silencer,0.5392607865388508,0.05663868308373472
77,ICM,0.4659842021959645,0.047683792032045084
78,SPSID,0.9128443426504234,0.45958060893297475
